1;3;Для какого из приведённых значений числа X ложно высказывание: НЕ (X < 6) ИЛИ (X < 5)?  ;5;7,6,4;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (X >= 6) ИЛИ (X < 5){n} {n}и проверим все варианты ответа.{n} {n}7 -  Истинно, поскольку истинно первое высказывание: 7 больше 6.{n}6 -  Истинно, поскольку истинно первое высказывание: 6 не меньше 6.{n}5 -  Ложно, поскольку ложны оба высказывания: 5 не больше 6 и 5 не меньше 5.{n}4 -  Истинно, поскольку истинно второе высказывание: 4 меньше 5.{n} {n}Правильный ответ указан под номером 3.{n}
14;1;Для какого из приведённых чисел ложно высказывание: НЕ (число > 50) ИЛИ (число чётное)?   ;123;56,9,8;{n}Логическое «ИЛИ» истинно тогда, когда истинно хотя бы одно высказывание. Запишем выражение в виде{n} {n}(число =< 50) ИЛИ (число чётное){n} {n}и проверим все варианты ответа.{n} {n}123 -  Ложно, поскольку ложны оба высказывания: 123 больше 50 и 123 — нечётное. {n}56 -  Истинно, поскольку истинно второе высказывание: 56 — чётное.{n}9 -  Истинно, поскольку истинно первое высказывание: 9 не больше 50.{n}8 -  Истинно, поскольку истинны оба высказывания: 8 не больше 50 и 8 — чётное. {n} {n}Правильный ответ указан под номером 1.{n}
15;3;Для какого из приведённых значений числа X истинно высказывание: НЕ (X < 3) И (X < 4)?   ;3;5,2,4;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X >= 3 -  И (X < 4 - {n} {n}и проверим все варианты ответа.{n} {n}5 -  Ложно, поскольку ложно второе высказывание: 5 меньше 4.{n}2 -  Ложно, поскольку ложно первое высказывание: 2 не меньше 3.{n}3 -  Истинно, поскольку истинны оба высказывания: 3 не меньше 3 и 3 меньше 4.{n}4 -  Ложно, поскольку ложно второе высказывание: 4 меньше 4.{n} {n}Правильный ответ указан под номером 3.{n}
16;4;Для какого из приведённых значений числа X истинно высказывание: (X < 5) И НЕ (X < 4)?   ;4;5,2,3;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X < 5) И (X >= 4 - {n} {n}и проверим все варианты ответа.{n} {n}5 -  Ложно, поскольку ложно первое высказывание: 5 меньше 5.{n}2 -  Ложно, поскольку ложно второе высказывание: 2 не меньше 4.{n}3 -  Ложно, поскольку ложно второе высказывание: 3 не меньше 4.{n}4 -  Истинно, поскольку истинны оба высказывания: 4 меньше 5 и 4 не меньше 4.{n} {n}Правильный ответ указан под номером 4.{n}
17;3;Для какого из приведённых чисел истинно высказывание:     НЕ (Первая цифра чётная) И  (Последняя цифра нечётная);3561;1234,6843,4562;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(Первая цифра нечётная) И (Последняя цифра нечётная){n} {n}и проверим все варианты ответа.{n} {n}1234 -  Ложно, поскольку ложно второе высказывание: 4 — нечётное.{n}6843 -  Ложно, поскольку ложно второе высказывание: 6 — нечётное.{n}3561 -  Истинно, поскольку истинны оба высказывания: 3 — нечётное и 1 — нечётное.{n}4562 -  Ложно, поскольку ложны оба высказывания: 4 — чётное и 2 — чётное.{n} {n}Правильный ответ указан под номером 3.{n}
18;2;Для какого из приведённых имён истинно высказывание:    НЕ (Первая буква гласная) И НЕ (Последняя буква согласная);Нелли;Инна,Иван,Потап;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква согласная) И (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Инна -  Ложно, поскольку ложно первое высказывание: и — гласная.{n}Нелли -  Истинно, поскольку истинны оба высказывания: н — согласная и и — гласная.{n}Иван -  Ложно, поскольку ложно второе высказывание: н — согласная.{n}Потап -  Ложно, поскольку ложно второе высказывание: п — согласная. {n} {n}Правильный ответ указан под номером 2.{n}
19;4;Для какого из приведённых имён истинно высказывание:    НЕ (Первая буква гласная) И НЕ (Последняя буква согласная);Татьяна;Анна,Роман,Олег;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква согласная) И (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Анна -  Ложно, поскольку ложно первое высказывание: а — согласная.{n}Роман -  Ложно, поскольку ложно второе высказывание: н — гласная.{n}Олег -  Ложно, поскольку ложны оба высказывания: о — согласная и г — гласная.{n}Татьяна -  Истинно, поскольку истинны оба высказывания. {n} {n}Правильный ответ указан под номером 4.{n}
20;4;Для какого из приведённых имён истинно высказывание:    НЕ (Первая буква согласная) И НЕ (Последняя буква гласная);Ян;Ольга,Михаил,Валентина;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква гласная) И (Последняя буква согласная){n} {n}и проверим все варианты ответа.{n} {n}Ольга -  Ложно, поскольку ложно второе высказывание: а — согласная.{n}Михаил -  Ложно, поскольку ложно первое высказывание: м — гласная. {n}Валентина -  Ложно, поскольку ложно первое высказывание: в — гласная.{n}Ян -  Истинно, поскольку истинны оба высказывания: я — гласная и н — согласная.{n} {n}Правильный ответ указан под номером 4.{n}
21;1;Для какого из приведённых имён истинно высказывание:    НЕ (Первая буква согласная) И НЕ (Последняя буква гласная);Юлиан;Константин,Екатерина,Светлана;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква гласная) И (Последняя буква согласная){n} {n}и проверим все варианты ответа.{n} {n}Юлиан -  Истинно, поскольку истинны оба высказывания. {n}Константин -  Ложно, поскольку ложно второе высказывание: к — гласная.{n}Екатерина -  Ложно, поскольку ложно первое высказывание: а — согласная.{n}Светлана -  Ложно, поскольку ложны оба высказывания: с — согласная и а — гласная.{n} {n}Правильный ответ указан под номером 1.{n}
22;4;Для какого из приведённых имён ложно высказывание:    НЕ (Первая буква гласная) ИЛИ НЕ (Последняя буква согласная);Ярослав;Арина,Владимир,Раиса;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква согласная) ИЛИ (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Арина -  Истинно, поскольку истинно второе высказывание: а — гласная.{n}Владимир -  Истинно, поскольку истинно первое высказывание: в — согласная.{n}Раиса -  Истинно, поскольку истинны оба высказывания: р — согласная и а — гласная.{n}Ярослав -  Ложно, поскольку ложны оба высказывания: я — гласная и в — согласная.{n} {n}Правильный ответ указан под номером 4.{n}
23;1;Для какого из приведённых имён ложно высказывание:    НЕ (Первая буква гласная) ИЛИ НЕ (Последняя буква согласная);Эдуард;Ангелина,Карина,Никон;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква согласная) ИЛИ (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Эдуард -  Ложно, поскольку ложны оба высказывания: э — гласная и д — согласная.{n}Ангелина -  Истинно, поскольку истинно второе высказывание: а — гласная.{n}Карина -  Истинно, поскольку истинны оба высказывания: к — согласная и а — гласная.{n}Никон -  Истинно, поскольку истинно первое высказывание: в — согласная.{n} {n}Правильный ответ указан под номером 1.{n}
24;2;Для какого из приведённых имён ложно высказывание:    НЕ (Первая буква согласная) ИЛИ НЕ (Последняя буква гласная);Кристина;Пимен,Ирина,Александр;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква гласная) ИЛИ (Последняя буква согласная){n} {n}и проверим все варианты ответа.{n} {n}Пимен -  Истинно, поскольку истинно второе высказывание: н — согласная.{n}Кристина -  Ложно, поскольку ложны оба высказывания: к — согласная и а — гласная.{n}Ирина -  Истинно, поскольку истинно первое высказывание: и — гласная.{n}Александр -  Истинно, поскольку истинны оба высказывания: а — гласная и р — согласная.{n} {n}Правильный ответ указан под номером 2.{n}
25;3;Для какого из приведённых имён ложно высказывание:    НЕ (Первая буква согласная) ИЛИ НЕ (Последняя буква гласная);Вера;Егор,Тимур,Любовь;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква гласная) ИЛИ (Последняя буква согласная){n} {n}и проверим все варианты ответа.{n} {n}Егор -  Истинно, поскольку истинно первое высказывание: е — гласная.{n}Тимур -  Истинно, поскольку истинно второе высказывание: р — согласная.{n}Вера -  Ложно, поскольку ложны оба высказывания: в — согласная и а — гласная.{n}Любовь -  Истинно, поскольку истинно второе высказывание: ь — согласная.{n} {n}Правильный ответ указан под номером 3.{n}
26;4;Для какого из приведённых имён ложно высказывание:    НЕ ((Первая буква гласная) И (Последняя буква согласная));Яков;Валентина,Герман,Анастасия;{n}Логическое «И» ложно только тогда, когда ложны хотя бы одно из высказываний. Поскольку перед конъюнкцией стоит отрицание, нужно найти выражение, для которого конъюнкция будет истинна.{n}Валентина -  Истинно, поскольку истинно первое высказывания: в — согласная.{n}Герман -  Истинно, поскольку истинно первое высказывание: г — согласная.{n}Анастасия -  Истинно, поскольку истинно второе высказывание: я — гласная.{n}Яков -  Ложно, поскольку ложны оба высказывания: я — гласная и в — согласная.{n} {n}Правильный ответ указан под номером 4.{n}
27;1;Для какого из приведённых имён ложно высказывание:    НЕ ((Первая буква согласная) И (Последняя буква гласная));Дарья;Павел,Абрам,Анфиса;{n}Преобразуем И в ИЛИ по правилам Де Моргана:{n} {n} НЕ(Первая буква согласная) ИЛИ НЕ(Последняя буква гласная){n} {n}Запишем эквивалентное высказывание:{n} {n}(Первая буква гласная) ИЛИ (Последняя буква согласная){n} {n} {n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Проверим все варианты ответа.{n} {n}Дарья -  Ложно, поскольку ложны оба высказывания: д — согласная и я — гласная.{n}Павел -  Истинно, поскольку истинно второе высказывание: л — согласная.{n}Абрам -  Истинно, поскольку истинны оба высказывания: а — гласная и м — согласная.{n}Анфиса -  Истинно, поскольку истинно первое высказывание: а — гласная.{n} {n}Правильный ответ указан под номером 1.{n}
28;2;Для какого из данных слов истинно высказывание:     НЕ (оканчивается на мягкий знак) И (количество букв чётное);август;сентябрь,декабрь,май;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (не оканчивается на мягкий знак) И (количество букв чётное){n} {n}и проверим все варианты ответа.{n} {n}сентябрь -  Ложно, поскольку ложно первое высказывание: сентябрь оканчивается на мягкий знак.{n}август -  Истинно, поскольку истинны оба высказывания: август не оканчивается на мягкий знак и имеет шесть букв.{n}декабрь -  Ложно, поскольку ложно первое высказывание: декабрь оканчивается на мягкий знак.{n}май -  Ложно, поскольку ложно второе высказывание: в слове май три буквы.{n} {n}Правильный ответ указан под номером 2.{n}
29;3;Для какого из данных слов истинно высказывание:     (оканчивается на мягкий знак) И НЕ (количество букв чётное);декабрь;сентябрь,август,май;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (оканчивается на мягкий знак) И (количество букв нечётное){n} {n}и проверим все варианты ответа.{n} {n}сентябрь -  Ложно, поскольку ложно второе высказывание: в слове сентябрь восемь букв.{n}август -  Ложно, поскольку ложно первое высказывание: август не оканчивается на мягкий знак.{n}декабрь -  Истинно, поскольку истинны оба высказывания: декабрь оканчивается на мягкий знак и имеет семь букв.{n}май -  Ложно, поскольку ложно первое высказывание: май не оканчивается на мягкий знак.{n} {n}Правильный ответ указан под номером 3.{n}
30;3;Для какого из данных слов истинно высказывание:    НЕ (есть шипящие) И  (оканчивается на гласную);забота;любовь,отвращение,отчуждённость;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (нет шипящих) И (оканчивается на гласную){n} {n}и проверим все варианты ответа.{n} {n}любовь -  Ложно, поскольку ложно второе высказывание: любовь не оканчивается на гласную.{n}отвращение -  Ложно, поскольку ложно первое высказывание: в слове отвращение есть шипящие.{n}забота -  Истинно, поскольку истинны оба высказывания: в слове забота нет шипящих и оно оканчивается на гласную.{n}отчуждённость -  Ложно, поскольку ложны оба высказывания: слово отчуждённость не оканчивается на гласную и в нём есть шипящие.{n} {n}Правильный ответ указан под номером 3.{n}
31;1;Для какого из данных слов истинно высказывание:    НЕ (есть шипящие) И НЕ (оканчивается на гласную)?;любовь;отвращение,забота,отчуждённость;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (нет шипящих) И (оканчивается на согласную){n} {n}и проверим все варианты ответа.{n} {n}любовь -  Истинно, поскольку истинны оба высказывания: слово любовь оканчивается на согласную и в нём нет шипящих.{n}отвращение -  Ложно, поскольку ложны оба высказывания: в слове отвращение есть шипящие и оно оканчивается на гласную.{n}забота -  Ложно, поскольку ложно второе высказывание: слово забота оканчивается на гласную.{n}отчуждённость -  Ложно, поскольку ложно первое высказывание: в слове отчуждённость есть шипящие.{n} {n}Правильный ответ указан под номером 1.{n}
32;1;Для какого из данных слов истинно высказывание:    НЕ (ударение на первый слог) И (количество букв чётное);корова;козел,кошка,конь;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (ударение не на первый слог) И (количество букв чётное){n} {n}и проверим все варианты ответа.{n} {n}корова -  Истинно, поскольку истинны оба высказывания: в слове корова ударение не на первый слог и количество букв чётное.{n}козел -  Ложно, поскольку ложно второе высказывание: в слове козел пять букв.{n}кошка -  Ложно, поскольку ложно второе высказывание: в слове кошка пять букв.{n}конь -  Ложно, поскольку ложно первое высказывание: в слове конь ударение на первый слог.{n} {n}Правильный ответ указан под номером 1.{n}
33;3;Для какого из данных слов истинно высказывание:     (ударение на первый слог) И НЕ (количество букв чётное);кошка;корова,козел,конь;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n} (ударение на первый слог) И (количество букв нечётное){n} {n}и проверим все варианты ответа.{n} {n}корова -  Ложно, поскольку ложно второе высказывание: в слове корова шесть букв.{n}козел -  Ложно, поскольку ложно первое высказывание: в слове козел ударение не на первый слог.{n}кошка -  Истинно, поскольку истинны оба высказывания: в слове кошка пять букв и ударение на первый слог.{n}конь -  Ложно, поскольку ложно второе высказывание: в слове конь четыре буквы.{n} {n}Правильный ответ указан под номером 3.{n}
34;1;Для какого из приведённых названий ложно высказывание:     НЕ (Количество букв чётное) ИЛИ  (Первая буква согласная);Омск;Иваново,Москва,Кировск;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Количество букв нечётное) ИЛИ (Первая буква согласная){n} {n}и проверим все варианты ответа.{n} {n}Омск -  Ложно, поскольку ложны оба высказывания: в слове Омск четыре буквы, первая гласная.{n}Иваново -  Истинно, поскольку истинно первое высказывание: в слове Иваново семь букв, первая гласная.{n}Москва -  Истинно, поскольку истинно второе высказывание: в слове Москва шесть букв, первая согласная.{n}Кировск -  Истинно, поскольку истинны оба высказывания: в слове Кировск семь букв, первая согласная.{n} {n}Правильный ответ указан под номером 1.{n}
35;4;Для какого из приведённых названий ложно высказывание:     (Количество букв чётное) ИЛИ  (Последняя буква гласная);Новокузнецк;Москва,Омск,Дубна;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Количество букв чётное) ИЛИ (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Москва -  Истинно, поскольку истинно первое высказывание: в слове Москва чётное количество букв.{n}Омск -  Истинно, поскольку истинно первое высказывание: в слове Омск чётное количество букв.{n}Дубна -  Истинно, поскольку истинно второе высказывание: в слове Дубна последняя буква гласная.{n}Новокузнецк -  Ложно, поскольку ложны оба высказывания: в слове Новокузнецк 11 букв и последняя буква согласная. {n} {n}Правильный ответ указан под номером 4.{n}
36;1;Для какого из приведённых чисел ложно высказывание:    НЕ (число > 50) ИЛИ (число чётное);123;56,9,8;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n}(число =< 50) ИЛИ (число чётное){n} {n}и проверим все варианты ответа.{n} {n}123 -  Ложно, поскольку ложны оба высказывания: 123 не меньше 50 и 123 — нечётное число.{n}56 -  Истинно, поскольку истинно второе высказывание: 56 — чётное.{n}9 -  Истинно, поскольку истинно второе высказывание: 9 — нечётное число.{n}8 -  Истинно, поскольку истинно первое высказывание: 8 не меньше 50.{n} {n}Правильный ответ указан под номером 1.{n}
37;2;Для какого из данных слов истинно высказывание:    НЕ (третья буква гласная) И (последняя согласная);инжир;слива,ананас,киви;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(третья буква согласная) И (последняя согласная){n} {n}и проверим все варианты ответа.{n} {n}слива -  Ложно, поскольку ложно первое высказывание: и — гласная.{n}инжир -  Истинно, поскольку истинны оба высказывания.{n}ананас -  Ложно, поскольку ложно первое высказывание: а — гласная.{n}киви -  Ложно, поскольку ложны оба высказывания.{n} {n}Правильный ответ указан под номером 2.{n}
38;4;Для какого из данных слов истинно высказывание:    НЕ (третья буква гласная) И НЕ (последняя согласная);киви;слива,инжир,ананас;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(третья буква согласная) И (последняя гласная){n} {n}и проверим все варианты ответа.{n} {n}слива -  Ложно, поскольку ложно первое высказывание: и — гласная.{n}инжир -  Ложно, поскольку ложно последнее высказывание: р — согласная.{n}ананас -  Ложно, поскольку ложны оба высказывания.{n}киви -  Истинно, поскольку истинны оба высказывания. {n} {n}Правильный ответ указан под номером 4.{n}
39;3;Для какого из приведённых чисел истинно высказывание:   НЕ (число > 10) И (число нечётное);9;22,13,6;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(число < 10) И (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}22 -  Ложно, поскольку 22 — чётное число.{n}13 -  Ложно, поскольку ложно первое высказывание: 13 < 10.{n}9 -  Истинно, поскольку истинны оба высказывания.{n}6 -  Ложно, поскольку 6 — чётное число.{n} {n}Правильный ответ указан под номером 3.{n}
40;2;Для какого из приведённых чисел истинно высказывание:   НЕ (число < 10) И (число нечётное);13;22,9,6;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(число > 10) И (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}22 -  Ложно, поскольку 22 — чётное число.{n}13 -  Истинно, поскольку истинны оба высказывания.{n}9 -  Ложно, поскольку ложно первое высказывание: 9 > 10.{n}6 -  Ложно, поскольку 6 — чётное число.{n} {n}Правильный ответ указан под номером 2.{n}
41;1;Для какого из приведённых значений числа X ложно высказывание: (X = 9) ИЛИ НЕ (X < 10)?   ;8;9,10,11;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Перепишем выражение в виде{n} {n} (X = 9) ИЛИ (X >= 10){n} {n}и проверим все варианты ответа.{n} {n}8 -  Ложно, поскольку ложны оба высказывания: 8 не равно 9 и 8 не больше 10.{n}9 -  Истинно, поскольку истинно первое высказывание, 9 равно 9.{n}10 -  Истинно, поскольку истинно второе высказывание 10 равно 10.{n}11 -  Истинно, поскольку истинно второе высказывание: 11 больше 10.{n} {n}Правильный ответ указан под номером 1.{n}
